Entidad federativa,Total,Alfabeta,Analfabeta,No especificado,Porcentaje_analfabetismo,
Aguascalientes,1038904,1015427,21908,1569,0.0211,
Baja California,2882498,2817601,52496,12401,0.0182,
Baja California Sur,597552,582156,13926,1470,0.0233,
Campeche,682951,642004,39986,961,0.0585,
Coahuila de Zaragoza,2316332,2269840,38606,7886,0.0167,
Colima,556272,536784,18734,754,0.0337,
Chiapas,3745908,3229576,512720,3612,0.1369,
Chihuahua,2791907,2710836,73223,7848,0.0262,
Ciudad de México,7547545,7408113,107444,31988,0.0142,
Durango,1315571,1276892,35779,2900,0.0272,
Guanajuato,4519193,4272112,238838,8243,0.0528,
Guerrero,2491307,2178010,310327,2970,0.1246,
Hidalgo,2288217,2133850,151311,3056,0.0661,
Jalisco,6193111,6003124,179014,10973,0.0289,
México,12862124,12458140,372454,31530,0.0290,
Michoacán de Ocampo,3446992,3197442,242339,7211,0.0703,
Morelos,1502021,1432769,66663,2589,0.0444,
Nayarit,903410,861500,40464,1446,0.0448,
Nuevo León,4384862,4301253,63980,19629,0.0146,
Oaxaca,2975786,2621264,351511,3011,0.1181,
Puebla,4796903,4456996,334179,5728,0.0697,
Querétaro,1778180,1713150,61734,3296,0.0347,
Quintana Roo,1379563,1333299,42224,4040,0.0306,
San Luis Potosí,2093875,1984709,104794,4372,0.0500,
Sinaloa,2277814,2194189,80898,2727,0.0355,
Sonora,2218268,2168691,44134,5443,0.0199,
Tabasco,1748089,1657434,88856,1799,0.0508,
Tamaulipas,2650544,2576049,68196,6299,0.0257,
Tlaxcala,974136,940111,32613,1412,0.0335,
Veracruz de Ignacio de la Llave,6098206,5574449,517798,5959,0.0849,
Yucatán,1765837,1657106,105704,3027,0.0599,
Zacatecas,1161476,1115847,43578,2051,0.0375,
